% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2020
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2020 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2020, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
198902	 -0.00258083	  0.01283716	 -0.00427192	
198903	  0.00023623	  0.00687019	 -0.00970341	
198904	 -0.02155447	 -0.00327259	 -0.02000575	
198905	  0.04318282	  0.04809879	 -0.03828178	
198906	 -0.00151688	  0.00113782	  0.07366713	
198907	  0.01780383	  0.02504144	  0.03081888	
198908	 -0.08469806	 -0.05342750	  0.00652344	
198909	  0.02803142	  0.01573496	 -0.04880614	
198910	 -0.15739923	 -0.11291390	  0.02662517	
198911	 -0.00958282	  0.01594829	 -0.02547946	
198912	 -0.02158866	  0.00827035	  0.02029981	
199001	 -0.02318927	 -0.00523063	 -0.03364272	
199002	 -0.00455940	  0.02585831	 -0.02990935	
199003	 -0.02215937	  0.03510201	 -0.02689389	
199004	  0.01049288	  0.00971306	  0.05850528	
199005	  0.01135475	  0.00994237	 -0.00628601	
199006	  0.00240538	 -0.00285609	  0.02616832	
199007	 -0.02548009	 -0.01512908	  0.05014475	
199008	  0.02499549	  0.00316449	  0.04515800	
199009	 -0.01568082	  0.05762838	  0.01964647	
199010	  0.05201194	  0.04895393	 -0.01223098	
199011	  0.02180098	  0.00780004	 -0.01153405	
199012	 -0.05574597	 -0.02964862	 -0.03337994	
199101	  0.03895971	  0.02247130	 -0.09360752	
199102	 -0.02117548	 -0.03777752	 -0.02090430	
199103	 -0.02611774	 -0.02521540	 -0.00623482	
199104	  0.00646525	  0.04392608	  0.01702663	
199105	 -0.00602298	  0.00029327	 -0.00890575	
199106	  0.04170756	  0.04958247	  0.02953914	
199107	 -0.00134718	  0.00342438	  0.01763190	
199108	 -0.01694843	 -0.02084591	 -0.01811231	
199109	 -0.01442521	  0.01638228	  0.01055563	
199110	 -0.02169450	  0.02017948	  0.02144749	
199111	  0.02615505	 -0.00278072	  0.04347328	
199112	 -0.05322495	 -0.07313849	 -0.05098599	
199201	 -0.06143841	 -0.03791680	 -0.07806138	
199202	 -0.03924378	  0.00993810	 -0.04595154	
199203	 -0.03850871	  0.01711933	 -0.00100618	
199204	  0.03361364	  0.04553545	 -0.00616180	
199205	  0.00132677	  0.05074835	 -0.00189318	
199206	  0.06758739	  0.00836313	  0.01980320	
199207	 -0.03719223	 -0.05129192	  0.02433435	
199208	 -0.00579089	  0.00415754	  0.04984212	
199209	  0.01255941	  0.03282703	 -0.02150347	
199210	 -0.05938488	 -0.05474412	 -0.01935261	
199211	  0.00064743	  0.03181471	 -0.05248292	
199212	  0.00963242	  0.02366483	 -0.02750549	
199301	  0.00477461	  0.03499458	 -0.00307993	
199302	 -0.02509457	 -0.00207518	  0.06761220	
199303	 -0.03729353	 -0.00997588	 -0.04119357	
199304	  0.00301429	  0.03142053	 -0.01662867	
199305	 -0.01490565	  0.01357484	  0.04365056	
199306	 -0.01844268	  0.01024270	 -0.03162674	
199307	 -0.02061453	  0.00602867	 -0.01376605	
199308	  0.04142405	  0.02372125	  0.01636544	
199309	  0.02482909	  0.03698336	 -0.07546294	
199310	  0.00075057	  0.01394325	  0.04824521	
199311	  0.00755458	  0.02132813	  0.05187487	
199312	  0.04937936	  0.03087544	  0.01264357	
199401	  0.03874597	  0.06914469	 -0.00666442	
199402	 -0.05098073	 -0.03909851	  0.00930770	
199403	 -0.01678367	 -0.01008337	  0.02605825	
199404	 -0.07560195	 -0.05203733	  0.00724243	
199405	 -0.03894634	 -0.00186170	  0.03475277	
199406	 -0.07876295	 -0.03512775	  0.00294348	
199407	  0.01170539	  0.06216495	 -0.01134941	
199408	 -0.01747023	  0.03538762	  0.00418145	
199409	  0.02057847	  0.01575079	  0.03081471	
199410	  0.02948721	  0.03207023	  0.01295209	
199411	 -0.01550504	 -0.04643720	 -0.01976682	
199412	 -0.03322443	 -0.01280078	  0.01717236	
199501	  0.02206376	  0.06148870	 -0.03696721	
199502	  0.02359722	  0.02437819	 -0.00404939	
199503	  0.00997984	 -0.01276344	  0.01954637	
199504	  0.03159925	  0.05039862	  0.02623209	
199505	  0.00549143	  0.01019154	 -0.00923606	
